maxcalls        fmin    x0      x1      time
1       145     -9      -8      160
2       145     -9      -8      63
4       10.696694976421103      0.91558956630427346     1.8309111819008841      510
8       10.696694976421103      0.91558956630427346     1.8309111819008841      6571
16      5       1       2       2645
32      5       1       2       4101
64      5       1       2       5716
128     5       1       2       10254
256     5       1       2       22236
512     0.9949590570932898      -0.9949586363291919     3.659142857592729e-10   53494
1024    0.9949590570932898      -0.9949586363291919     3.659142857592729e-10   164198
2048    0.9949590570932898      -0.9949586363291919     3.659142857592729e-10   626109
4096    0.9949590570932898      -0.9949586363291919     3.659142857592729e-10   2331822
8192    0.9949590570932898      -0.9949586363291919     3.659142857592729e-10   9703094
16384   0.9949590570932898      -0.9949586363291919     3.659142857592729e-10   41999079
32768   0       -7.5378915611401893e-11 1.5005768188922944e-10  177139547
